| Tag | Definition | Key Distinguishing Signals |
|-----|-----------|---------------------------|
| `cafe` | A primarily daytime establishment centered around beverages like coffee and tea and light food. Differs from coffee_shop as more food/bakery options but also not just a restaurant that serves coffee. | `types` includes "cafe"; light meal focus; daytime hours dominant |
| `casual` | Relaxed, low-pressure atmosphere where dress code and formality are minimal. | Review language like "laid-back", "no fuss", "come as you are"; moderate or budget pricing |
| `cozy` | Physically small or warm-feeling space that creates intimacy or comfort. Not the same as quiet or romantic. | Reviews mentioning "cozy", "warm", "snug", "homey"; small seating capacity; fireplace/candles |
| `coffee_shop` | Primary business is serving coffee and coffee-based drinks. Distinct from `cafe` in that food is secondary or minimal. | `serves_coffee: true` AND `types` suggests coffee-first; limited food menu |
| `bar` | Venues primarilly in the evenings focused on serving alcoholioc drinks and good vibes. Not just any place that serves alcohol" | Attributes to do with alcohol such as `serves_cocktails: true`, `serves_beer: true`,  reviews/summaries mentioning alcohol, late night, music |
| `elegant` | Refined atmosphere with attention to aesthetic detail — decor, plating, service style. Exists primarily at high price points. Distinct from `fine_dining` (complete premium experience) | Reviews mentioning "beautiful", "elegant", "stunning decor", "sophisticated"; premium food options wagyu, caviar, lobster etc. |
| `fine_dining` | Full premium experience: high price, formal service, tasting menus or chef-driven cuisine, reservations expected. | `price_bucket` is "luxury" or "expensive"; tasting menu mentions; formal service language |
| `food_truck` | Mobile food vendor or permanent establishment with food-truck origins/style. | `types` includes food truck indicators; street food style; very limited menu |
| `hole_in_the_wall` | Small, unassuming, no-frills establishment where food quality dramatically outperforms ambiance. | Budget pricing with high rating; reviews contrasting humble appearance with great food; "hidden gem" language |
| `late_night` | Open significantly past typical dinner hours (past 11 PM), and this is a notable part of the experience. | `is_open_late: true`; hours confirm late closing; reviews mention late-night visits |
| `live_music` | Regular live music performances are part of the experience, not just background playlist. | `live_music: true`; reviews mention performances, bands, musicians |
| `modern` | Contemporary approach to cuisine, decor, or concept. Fusion, reinterpretation of traditional dishes, or distinctly current aesthetic. | "Modern", "contemporary", "innovative", "fusion" in text; non-traditional takes on cuisine |
| `fast_food` | Fast service, minimal wait, designed for eating in under 30 minutes. Distinct from `casual` (atmosphere, not speed). | Counter service; fast food adjacent; takeout-heavy; small portions; budget price |
| `romantic` | Suitable for dates and romantic occasions due to atmosphere, lighting, intimacy, or service style. | "Romantic", "date night", "intimate", "candlelit" in reviews; dim lighting; small tables for two |
| `sports_bar` | Establishment where watching sports is a primary draw — TV screens, dart boards / pool tables (pub games of sort), fan atmosphere. | `good_for_watching_sports: true`; reviews mention TVs, game day, sports |
| `takeout_friendly` | Well-suited for takeout or delivery — food travels well, ordering is easy. | Reviews mention takeout/delivery positively; `types` includes delivery/meal_takeout; quick service format |
| `pub` | A traditional pub or gastropub where beer, ale, or cider is central to the identity. Community-oriented, often with hearty food. Distinct from `bar` (pub implies warmth, tradition, food; bar implies nightlife, cocktails, vibes). | `serves_beer: true` AND reviews/summaries mention "pub", "ales", "pints", "gastropub", "pub grub"; British/Irish character; relaxed communal atmosphere |
| `shop` | Establishment primarily selling ingredients or ready-made food items for customers to take home, as opposed to preparing and serving meals on-site. | `types` includes "grocery_or_supermarket", "supermarket"; reviews mention "shopping", "ingredients", "products", "shelves"; no dine-in language;`|
| `brunch` | Establishment where brunch is a speciality — typically weekend daytime service with a dedicated brunch menu, bottomless drinks, or a social brunch atmosphere. Not just any restaurant that happens to be open on weekend mornings. | `serves_brunch: true` AND reviews/summaries mention "brunch", or specific breakfast/brunch items; dedicated brunch menu or brunch-specific offerings; daytime weekend hours |
| `outdoor_dining` | Establishment with notable outdoor seating that is a draw in itself — terraces, rooftop, balcony, garden, or pavement dining. Not just a single bench outside. The outdoor space should be a meaningful part of the experience. | `outdoor_seating: true` AND reviews/summaries mention "terrace", "rooftop", "garden", "al fresco", "outdoor", "patio", "balcony"; photos suggest substantial outdoor area |
| `wavy` | A place with a sense of novelty, cultural currency, or creative edge — it feels current and worth talking about. Not about price or formality, but about whether the concept, cuisine, or execution feels fresh rather than formulaic. Chains can be wavy if the concept still feels distinctive. | `Reviews/summaries mention "unique", "creative", "interesting", "different", "must-try"; non-ubiquitous cuisine or novel concept (e.g., specialty udon bar vs. generic sandwich chain); strong social media presence or word-of-mouth buzz; independent OR chain but not mass-market commoditized food has an identity rather than being purely functional |
| `bossman` | A functional eatery where the food is commoditised and interchangeable — the kind of place you go out of convenience or habit, not discovery. Covers generic high-street chicken shops, pizza shops and delis. The place should have no real brand or flavour identity. | Very cheap, often low quality food; Ubiquitous place with distinguishing concept (e.g. "chicken shop", "kebab shop", generic sandwich chain); cuisine is mass-market commoditized, low-price point, quick and open-late|
